Names,PewDiePie,T Series
13-Mar-06,,0
14-Mar-06,,
15-Mar-06,,
16-Mar-06,,
17-Mar-06,,
18-Mar-06,,
19-Mar-06,,
20-Mar-06,,
21-Mar-06,,
22-Mar-06,,
23-Mar-06,,
24-Mar-06,,
25-Mar-06,,
26-Mar-06,,
27-Mar-06,,
28-Mar-06,,
29-Mar-06,,
30-Mar-06,,
31-Mar-06,,
1-Apr-06,,
2-Apr-06,,
3-Apr-06,,
4-Apr-06,,
5-Apr-06,,
6-Apr-06,,
7-Apr-06,,
8-Apr-06,,
9-Apr-06,,
10-Apr-06,,
11-Apr-06,,
12-Apr-06,,
13-Apr-06,,
14-Apr-06,,
15-Apr-06,,
16-Apr-06,,
17-Apr-06,,
18-Apr-06,,
19-Apr-06,,
20-Apr-06,,
21-Apr-06,,
22-Apr-06,,
23-Apr-06,,
24-Apr-06,,
25-Apr-06,,
26-Apr-06,,
27-Apr-06,,
28-Apr-06,,
29-Apr-06,,
30-Apr-06,,
1-May-06,,
2-May-06,,
3-May-06,,
4-May-06,,
5-May-06,,
6-May-06,,
7-May-06,,
8-May-06,,
9-May-06,,
10-May-06,,
11-May-06,,
12-May-06,,
13-May-06,,
14-May-06,,
15-May-06,,
16-May-06,,
17-May-06,,
18-May-06,,
19-May-06,,
20-May-06,,
21-May-06,,
22-May-06,,
23-May-06,,
24-May-06,,
25-May-06,,
26-May-06,,
27-May-06,,
28-May-06,,
29-May-06,,
30-May-06,,
31-May-06,,
1-Jun-06,,
2-Jun-06,,
3-Jun-06,,
4-Jun-06,,
5-Jun-06,,
6-Jun-06,,
7-Jun-06,,
8-Jun-06,,
9-Jun-06,,
10-Jun-06,,
11-Jun-06,,
12-Jun-06,,
13-Jun-06,,
14-Jun-06,,
15-Jun-06,,
16-Jun-06,,
17-Jun-06,,
18-Jun-06,,
19-Jun-06,,
20-Jun-06,,
21-Jun-06,,
22-Jun-06,,
23-Jun-06,,
24-Jun-06,,
25-Jun-06,,
26-Jun-06,,
27-Jun-06,,
28-Jun-06,,
29-Jun-06,,
30-Jun-06,,
1-Jul-06,,
2-Jul-06,,
3-Jul-06,,
4-Jul-06,,
5-Jul-06,,
6-Jul-06,,
7-Jul-06,,
8-Jul-06,,
9-Jul-06,,
10-Jul-06,,
11-Jul-06,,
12-Jul-06,,
13-Jul-06,,
14-Jul-06,,
15-Jul-06,,
16-Jul-06,,
17-Jul-06,,
18-Jul-06,,
19-Jul-06,,
20-Jul-06,,
21-Jul-06,,
22-Jul-06,,
23-Jul-06,,
24-Jul-06,,
25-Jul-06,,
26-Jul-06,,
27-Jul-06,,
28-Jul-06,,
29-Jul-06,,
30-Jul-06,,
31-Jul-06,,
1-Aug-06,,
2-Aug-06,,
3-Aug-06,,
4-Aug-06,,
5-Aug-06,,
6-Aug-06,,
7-Aug-06,,
8-Aug-06,,
9-Aug-06,,
10-Aug-06,,
11-Aug-06,,
12-Aug-06,,
13-Aug-06,,
14-Aug-06,,
15-Aug-06,,
16-Aug-06,,
17-Aug-06,,
18-Aug-06,,
19-Aug-06,,
20-Aug-06,,
21-Aug-06,,
22-Aug-06,,
23-Aug-06,,
24-Aug-06,,
25-Aug-06,,
26-Aug-06,,
27-Aug-06,,
28-Aug-06,,
29-Aug-06,,
30-Aug-06,,
31-Aug-06,,
1-Sep-06,,
2-Sep-06,,
3-Sep-06,,
4-Sep-06,,
5-Sep-06,,
6-Sep-06,,
7-Sep-06,,
8-Sep-06,,
9-Sep-06,,
10-Sep-06,,
11-Sep-06,,
12-Sep-06,,
13-Sep-06,,
14-Sep-06,,
15-Sep-06,,
16-Sep-06,,
17-Sep-06,,
18-Sep-06,,
19-Sep-06,,
20-Sep-06,,
21-Sep-06,,
22-Sep-06,,
23-Sep-06,,
24-Sep-06,,
25-Sep-06,,
26-Sep-06,,
27-Sep-06,,
28-Sep-06,,
29-Sep-06,,
30-Sep-06,,
1-Oct-06,,
2-Oct-06,,
3-Oct-06,,
4-Oct-06,,
5-Oct-06,,
6-Oct-06,,
7-Oct-06,,
8-Oct-06,,
9-Oct-06,,
10-Oct-06,,
11-Oct-06,,
12-Oct-06,,
13-Oct-06,,
14-Oct-06,,
15-Oct-06,,
16-Oct-06,,
17-Oct-06,,
18-Oct-06,,
19-Oct-06,,
20-Oct-06,,
21-Oct-06,,
22-Oct-06,,
23-Oct-06,,
24-Oct-06,,
25-Oct-06,,
26-Oct-06,,
27-Oct-06,,
28-Oct-06,,
29-Oct-06,,
30-Oct-06,,
31-Oct-06,,
1-Nov-06,,
2-Nov-06,,
3-Nov-06,,
4-Nov-06,,
5-Nov-06,,
6-Nov-06,,
7-Nov-06,,
8-Nov-06,,
9-Nov-06,,
10-Nov-06,,
11-Nov-06,,
12-Nov-06,,
13-Nov-06,,
14-Nov-06,,
15-Nov-06,,
16-Nov-06,,
17-Nov-06,,
18-Nov-06,,
19-Nov-06,,
20-Nov-06,,
21-Nov-06,,
22-Nov-06,,
23-Nov-06,,
24-Nov-06,,
25-Nov-06,,
26-Nov-06,,
27-Nov-06,,
28-Nov-06,,
29-Nov-06,,
30-Nov-06,,
1-Dec-06,,
2-Dec-06,,
3-Dec-06,,
4-Dec-06,,
5-Dec-06,,
6-Dec-06,,
7-Dec-06,,
8-Dec-06,,
9-Dec-06,,
10-Dec-06,,
11-Dec-06,,
12-Dec-06,,
13-Dec-06,,
14-Dec-06,,
15-Dec-06,,
16-Dec-06,,
17-Dec-06,,
18-Dec-06,,
19-Dec-06,,
20-Dec-06,,
21-Dec-06,,
22-Dec-06,,
23-Dec-06,,
