Names	Don't Subscribe	ejsafc	Jack Massey Welsh	JackMasseyWelsh	JacksEpicYoutubeChannelFullOfFunTimesAndFunHiRickX	JACKSEPICYOUTUBECHANNELFULLOFFUNTIMESANDFUNHIRICKXHASNOTHINGONMEIAM...	JackSucksAtClips	JackSucksAtEspanol	JackSucksAtGeography	JackSucksAtLife	JackSucksAtPopUpPirate	JackSucksAtStuff	No Context JackSucksAtLife	SamSmellsOfApricot	SamSmellsOfApricots	TDD41	turd boi420
Bar Colors	#01a9cf	#f7ad57	#00d6cf	#518cb1	#ff76c4	#ff0000	#6d25ee	#8732a8	#42f548	#ff4daa	#f80101	#d6d96d	#507cff	#aa47bc	#1d6996	#b93c5b	#ec407a
Bar Images	2.jpg	3.jpg	4.jpg	5.jpg	6.jpg	7.jpg	8.jpg	16.jpg	9.jpg	10.jpg	11.jpg	12.jpg	17.jpg	13.jpg	1.jpg	15.jpg	14.jpg
"Sep 27, 2008"															0		
"Sep 28, 2008"															0		
"Sep 29, 2008"															0		
"Sep 30, 2008"															0		
"Oct 01, 2008"															0		
"Oct 02, 2008"															0.032258065		
"Oct 03, 2008"															0.064516129		
"Oct 04, 2008"															0.096774194		
"Oct 05, 2008"															0.129032258		
"Oct 06, 2008"															0.161290323		
"Oct 07, 2008"															0.193548387		
"Oct 08, 2008"															0.225806452		
"Oct 09, 2008"															0.258064516		
"Oct 10, 2008"															0.290322581		
"Oct 11, 2008"															0.322580645		
"Oct 12, 2008"															0.35483871		
"Oct 13, 2008"															0.387096774		
"Oct 14, 2008"															0.419354839		
"Oct 15, 2008"															0.451612903		
"Oct 16, 2008"															0.483870968		
"Oct 17, 2008"															0.516129032		
"Oct 18, 2008"															0.548387097		
"Oct 19, 2008"															0.580645161		
"Oct 20, 2008"															0.612903226		
"Oct 21, 2008"															0.64516129		
"Oct 22, 2008"															0.677419355		
"Oct 23, 2008"															0.709677419		
"Oct 24, 2008"															0.741935484		
"Oct 25, 2008"															0.774193548		
"Oct 26, 2008"															0.806451613		
"Oct 27, 2008"															0.838709677		
"Oct 28, 2008"															0.870967742		
"Oct 29, 2008"															0.903225806		
"Oct 30, 2008"															0.935483871		
"Oct 31, 2008"															0.967741935		
"Nov 01, 2008"															1		
"Nov 02, 2008"															1.002066116		
"Nov 03, 2008"															1.004132231		
"Nov 04, 2008"															1.006198347		
"Nov 05, 2008"															1.008264463		
"Nov 06, 2008"															1.010330579		
"Nov 07, 2008"															1.012396694		
"Nov 08, 2008"															1.01446281		
"Nov 09, 2008"															1.016528926		
"Nov 10, 2008"															1.018595041		
"Nov 11, 2008"															1.020661157		
"Nov 12, 2008"															1.022727273		
"Nov 13, 2008"															1.024793388		
"Nov 14, 2008"															1.026859504		
"Nov 15, 2008"															1.02892562		
"Nov 16, 2008"															1.030991736		
"Nov 17, 2008"															1.033057851		
"Nov 18, 2008"															1.035123967		
