names	Grian	SmallishBeans	Dangthatsalongname	BigB - Minecraft	EthosLab	BdoubleO100	PearlescentMoon	InTheLittleWood aka Martyn	GoodTimesWithScar	impulseSV	Tango Tek	ZombieCleo	Solidarity	MCSkizzleman
Bar colors	#8a0a01	#3866f9	#48bfea	#c0efff	#87CEEB	#35168b	#fff5c3	#72ca30	#306166	#f2ca37	#fc1900	#abadaa	#373797	#0020ff
Bar images	x	x	x	x	x	x	x	x	x	x	x	x	x	x
Indicator	a	a	a	a	a	a	a	a	a	a	a	a	a	a
"Apr 08, 2008"								0						
"Apr 09, 2008"								0						
"Apr 10, 2008"								0						
"Apr 11, 2008"								0						
"Apr 12, 2008"								0						
"Apr 13, 2008"								1.487027428						
"Apr 14, 2008"								2.974054855						
"Apr 15, 2008"								4.461082283						
"Apr 16, 2008"								5.948109711						
"Apr 17, 2008"								7.435137139						
"Apr 18, 2008"								8.922164566						
"Apr 19, 2008"								10.40919199						
"Apr 20, 2008"								11.89621942						
"Apr 21, 2008"								13.38324685						
"Apr 22, 2008"								14.87027428						
"Apr 23, 2008"								16.3573017						
"Apr 24, 2008"								17.84432913						
"Apr 25, 2008"								19.33135656						
"Apr 26, 2008"								20.81838399						
"Apr 27, 2008"								22.30541142						
"Apr 28, 2008"								23.79243884						
"Apr 29, 2008"								25.27946627						
"Apr 30, 2008"								26.7664937						
"May 01, 2008"								28.25352113						
"May 02, 2008"								29.74054855						
"May 03, 2008"								31.22757598						
"May 04, 2008"								32.71460341						
"May 05, 2008"								34.20163084						
"May 06, 2008"								35.68865827						
"May 07, 2008"								37.17568569						
"May 08, 2008"								38.66271312						
"May 09, 2008"								40.14974055						
"May 10, 2008"								41.63676798						
"May 11, 2008"								43.1237954						
"May 12, 2008"								44.61082283						
"May 13, 2008"								46.09785026						
"May 14, 2008"								47.58487769						
"May 15, 2008"								49.07190511						
"May 16, 2008"								50.55893254						
"May 17, 2008"								52.04595997						
"May 18, 2008"								53.5329874						
"May 19, 2008"								55.02001483						
"May 20, 2008"								56.50704225						
"May 21, 2008"								57.99406968						
"May 22, 2008"								59.48109711						
"May 23, 2008"								60.96812454						
"May 24, 2008"								62.45515196						
"May 25, 2008"								63.94217939						
"May 26, 2008"								65.42920682						
"May 27, 2008"								66.91623425						
"May 28, 2008"								68.40326168						
"May 29, 2008"								69.8902891						
"May 30, 2008"								71.37731653						
"May 31, 2008"								72.86434396						
"Jun 01, 2008"								74.35137139						
"Jun 02, 2008"								75.83839881						
"Jun 03, 2008"								77.32542624						
