Names	Behzinga	KSI	Miniminter	TBJZL	Vikkstar123	W2S	Zerkaa
Bar Colors	#e4a176	#9c9392	#fddc85	#020203	#4f57e8	#0668c2	#01f8ff
Bar Images	Behzinga.jpg	KSI.jpg	Miniminter.jpg	TBJZL.jpg	Vikkstar123.jpg	W2S.jpg	Zerkaa.jpg
"Dec 01, 2009"		0	0				
"Dec 02, 2009"		0	0				
"Dec 03, 2009"		0	0				
"Dec 04, 2009"		0	0				
"Dec 05, 2009"		0	0				
"Dec 06, 2009"		0	0				0
"Dec 07, 2009"		0	0				0
"Dec 08, 2009"		0	0				0
"Dec 09, 2009"		0	0				357.52
"Dec 10, 2009"		0	0				715.041
"Dec 11, 2009"		0	0				1072.561
"Dec 12, 2009"		0	0				1430.081
"Dec 13, 2009"		0	0				1787.602
"Dec 14, 2009"		0	0				2145.122
"Dec 15, 2009"		0	0				2502.642
"Dec 16, 2009"		0	0				2860.163
"Dec 17, 2009"		0	0				3217.683
"Dec 18, 2009"		0	0				3575.203
"Dec 19, 2009"		0	0				3932.724
"Dec 20, 2009"		0	0				4290.244
"Dec 21, 2009"		0	0				4647.764
"Dec 22, 2009"		0	0				5005.285
"Dec 23, 2009"		0	0				5362.805
"Dec 24, 2009"		0	0				5720.325
"Dec 25, 2009"		0	0				6077.846
"Dec 26, 2009"		0	0				6435.366
"Dec 27, 2009"		0	0				6792.886
"Dec 28, 2009"		0	0				7150.407
"Dec 29, 2009"		0	0				7507.927
"Dec 30, 2009"		0	0				7865.447
"Dec 31, 2009"		0	0				8222.967
"Jan 01, 2010"		0	0				8580.488
"Jan 02, 2010"		0	0				8938.008
"Jan 03, 2010"		0	0				9295.528
"Jan 04, 2010"		0	0				9653.049
"Jan 05, 2010"		0	0				10010.569
"Jan 06, 2010"		0	0				10368.089
"Jan 07, 2010"		0	0				10725.61
"Jan 08, 2010"		0	0				11083.13
"Jan 09, 2010"		0	0				11440.65
"Jan 10, 2010"		0	0				11798.171
"Jan 11, 2010"		0	0				12155.691
"Jan 12, 2010"		0	0				12513.211
"Jan 13, 2010"		0	0				12870.732
"Jan 14, 2010"		0	0				13228.252
"Jan 15, 2010"		0	0				13585.772
"Jan 16, 2010"		0	0				13943.293
"Jan 17, 2010"		0	0				14300.813
"Jan 18, 2010"		0	0				14658.333
"Jan 19, 2010"		0	0				15015.854
"Jan 20, 2010"		0	0				15373.374
"Jan 21, 2010"		0	0				15730.894
"Jan 22, 2010"		0	0				16088.415
"Jan 23, 2010"		0	0				16445.935
"Jan 24, 2010"		0	0				16803.455
"Jan 25, 2010"		0	0				17160.976
"Jan 26, 2010"		0	0				17518.496
"Jan 27, 2010"		0	0				17876.016
"Jan 28, 2010"		0	0				18233.537
"Jan 29, 2010"		0	0				18591.057
"Jan 30, 2010"		0	0				18948.577
"Jan 31, 2010"		9.635	0				19306.098
"Feb 01, 2010"		19.269	0				19663.618
"Feb 02, 2010"		28.904	0				20021.138
"Feb 03, 2010"		38.538	0				20378.659
"Feb 04, 2010"		48.173	0				20736.179
"Feb 05, 2010"		57.807	0				21093.699
"Feb 06, 2010"		67.442	0				21451.22
"Feb 07, 2010"		77.077	0				21808.74
"Feb 08, 2010"		86.711	0				22166.26
"Feb 09, 2010"		96.346	0				22523.78
"Feb 10, 2010"		105.98	0				22881.301
"Feb 11, 2010"		115.615	0				23238.821
"Feb 12, 2010"		125.249	0				23596.341
"Feb 13, 2010"		134.884	0				23953.862
"Feb 14, 2010"		144.519	0				24311.382
"Feb 15, 2010"		154.153	0				24668.902
"Feb 16, 2010"		163.788	0				25026.423
"Feb 17, 2010"		173.422	0				25383.943
"Feb 18, 2010"		183.057	0				25741.463
"Feb 19, 2010"		192.691	0				26098.984
"Feb 20, 2010"		202.326	0				26456.504
"Feb 21, 2010"		211.96	0				26814.024
"Feb 22, 2010"		221.595	0				27171.545
"Feb 23, 2010"		231.23	0				27529.065
"Feb 24, 2010"		240.864	0				27886.585
"Feb 25, 2010"		250.499	0				28244.106
"Feb 26, 2010"		260.133	0				28601.626
"Feb 27, 2010"		269.768	0				28959.146
"Feb 28, 2010"		279.402	0				29316.667
"Mar 01, 2010"		289.037	0				29674.187
"Mar 02, 2010"		298.672	0				30031.707
"Mar 03, 2010"		308.306	0				30389.228
"Mar 04, 2010"		317.941	0				30746.748
"Mar 05, 2010"		327.575	0				31104.268
"Mar 06, 2010"		337.21	0				31461.789
"Mar 07, 2010"		346.844	0				31819.309
"Mar 08, 2010"		356.479	0				32176.829
"Mar 09, 2010"		366.114	0				32534.35
"Mar 10, 2010"		375.748	0				32891.87
"Mar 11, 2010"		385.383	0				33249.39
"Mar 12, 2010"		395.017	0				33606.911
"Mar 13, 2010"		404.652	0				33964.431
"Mar 14, 2010"		414.286	0				34321.951
"Mar 15, 2010"		423.921	0				34679.472
"Mar 16, 2010"		433.556	0				35036.992
"Mar 17, 2010"		443.19	0				35394.512
"Mar 18, 2010"		452.825	0				35752.033
"Mar 19, 2010"		462.459	0				36109.553
"Mar 20, 2010"		472.094	0				36467.073
"Mar 21, 2010"		481.728	0				36824.593
"Mar 22, 2010"		491.363	0				37182.114
"Mar 23, 2010"		500.998	0				37539.634
"Mar 24, 2010"		510.632	0				37897.154
"Mar 25, 2010"		520.267	0				38254.675
"Mar 26, 2010"		529.901	0				38612.195
"Mar 27, 2010"		539.536	0				38969.715
"Mar 28, 2010"		549.17	0				39327.236
"Mar 29, 2010"		558.805	0				39684.756
"Mar 30, 2010"		568.44	0				40042.276
"Mar 31, 2010"		578.074	0				40399.797
"Apr 01, 2010"		587.709	0				40757.317
"Apr 02, 2010"		597.343	0				41114.837
"Apr 03, 2010"		606.978	0				41472.358
"Apr 04, 2010"		616.612	0				41829.878
"Apr 05, 2010"		626.247	0				42187.398
"Apr 06, 2010"		635.881	0				42544.919
"Apr 07, 2010"		645.516	0				42902.439
"Apr 08, 2010"		655.151	0				43259.959
"Apr 09, 2010"		664.785	0				43617.48
"Apr 10, 2010"		674.42	0				43975
"Apr 11, 2010"		684.054	0				44332.52
"Apr 12, 2010"		693.689	0		0		44690.041
"Apr 13, 2010"		703.323	0		0		45047.561
"Apr 14, 2010"		712.958	0		0		45405.081
"Apr 15, 2010"		722.593	0		0		45762.602
"Apr 16, 2010"		732.227	0		0		46120.122
"Apr 17, 2010"		741.862	0		0		46477.642
"Apr 18, 2010"		751.496	0		0		46835.163
"Apr 19, 2010"		761.131	0		0		47192.683
"Apr 20, 2010"		770.765	0		0		47550.203
"Apr 21, 2010"		780.4	0		0		47907.724
"Apr 22, 2010"		790.035	0		0		48265.244
"Apr 23, 2010"		799.669	0		0		48622.764
"Apr 24, 2010"		809.304	0		0		48980.285
"Apr 25, 2010"		818.938	0		0		49337.805
"Apr 26, 2010"		828.573	0		0		49695.325
"Apr 27, 2010"		838.207	0		0		50052.846
"Apr 28, 2010"		847.842	0		0		50410.366
"Apr 29, 2010"		857.477	0		0		50767.886
"Apr 30, 2010"		867.111	0		0		51125.407
"May 01, 2010"		876.746	0		0		51482.927
"May 02, 2010"		886.38	0		0		51840.447
"May 03, 2010"		896.015	0		0		52197.967
"May 04, 2010"		905.649	0		0		52555.488
"May 05, 2010"		915.284	0		0		52913.008
"May 06, 2010"		924.919	0		0		53270.528
"May 07, 2010"		934.553	0		0		53628.049
"May 08, 2010"		944.188	0		0		53985.569
"May 09, 2010"		953.822	0		0		54343.089
"May 10, 2010"		963.457	0		0		54700.61
"May 11, 2010"		973.091	0		0		55058.13
"May 12, 2010"		982.726	0		0		55415.65
"May 13, 2010"		992.36	0		0		55773.171
"May 14, 2010"		1001.995	0		0		56130.691
"May 15, 2010"		1011.63	0		0		56488.211
"May 16, 2010"		1021.264	0		0		56845.732
"May 17, 2010"		1030.899	0		0		57203.252
"May 18, 2010"		1040.533	0		0		57560.772
"May 19, 2010"		1050.168	0		0		57918.293
"May 20, 2010"		1059.802	0		0		58275.813
"May 21, 2010"		1069.437	0		0		58633.333
"May 22, 2010"		1079.072	0		0		58990.854
"May 23, 2010"		1088.706	0		0		59348.374
"May 24, 2010"		1098.341	0		0		59705.894
"May 25, 2010"		1107.975	0		0		60063.415
"May 26, 2010"		1117.61	0		0		60420.935
"May 27, 2010"		1127.244	0		0		60778.455
"May 28, 2010"		1136.879	0		0		61135.976
"May 29, 2010"		1146.514	0		0		61493.496
"May 30, 2010"		1156.148	0		0		61851.016
"May 31, 2010"		1165.783	0		0		62208.537
"Jun 01, 2010"		1175.417	0		0		62566.057
"Jun 02, 2010"		1185.052	0		0		62923.577
"Jun 03, 2010"		1194.686	0		0		63281.098
"Jun 04, 2010"		1204.321	0		0		63638.618
"Jun 05, 2010"		1213.956	0		0		63996.138
"Jun 06, 2010"		1223.59	0		0		64353.659
"Jun 07, 2010"		1233.225	0		0		64711.179
"Jun 08, 2010"		1242.859	0		0		65068.699
"Jun 09, 2010"		1252.494	0		0		65426.22
"Jun 10, 2010"		1262.128	0		0		65783.74
"Jun 11, 2010"		1271.763	0		0		66141.26
"Jun 12, 2010"		1281.398	0		0		66498.78
"Jun 13, 2010"		1291.032	0		0		66856.301
"Jun 14, 2010"		1300.667	0		0		67213.821
"Jun 15, 2010"		1310.301	0		0		67571.341
"Jun 16, 2010"		1319.936	0		0		67928.862
"Jun 17, 2010"		1329.57	0		0		68286.382
"Jun 18, 2010"		1339.205	0		0		68643.902
"Jun 19, 2010"		1348.84	0		0		69001.423
"Jun 20, 2010"		1358.474	0		0		69358.943
"Jun 21, 2010"		1368.109	0		0		69716.463
"Jun 22, 2010"		1377.743	0		0		70073.984
