names	VanossGaming	H2ODelirious	WILDCAT	Nogla	Moo	Terroriser	BasicallyIDoWrk	fourzer0seven	BigJigglyPanda	Ohmwrecker	Mini Ladd	Lui Calibre
Bar colors	#202020	#1064c2	#038fca	#60503b	#3aac23	#040404	#37193d	#46b8ea	#f5eb00	#5d5e63	#d78e1d	#696969
Bar images	x	x	x	x	x	x	x	x	x	x	x	x
Indicator	a	a	a	a	a	a	a	a	a	a	a	a
"Jul 13, 2006"										0		
"Jul 14, 2006"										0		
"Jul 15, 2006"										0		
"Jul 16, 2006"										0		
"Jul 17, 2006"										0		
"Jul 18, 2006"										0		
"Jul 19, 2006"										0		
"Jul 20, 2006"										0		
"Jul 21, 2006"										0		
"Jul 22, 2006"										0		
"Jul 23, 2006"										0		
"Jul 24, 2006"										0		
"Jul 25, 2006"										0		
"Jul 26, 2006"										0		
"Jul 27, 2006"										0		
"Jul 28, 2006"										0		
"Jul 29, 2006"										0		
"Jul 30, 2006"										0		
"Jul 31, 2006"										0		
"Aug 01, 2006"										0		
"Aug 02, 2006"										0		
"Aug 03, 2006"										0		
"Aug 04, 2006"										0		
"Aug 05, 2006"										0		
"Aug 06, 2006"										0		
"Aug 07, 2006"										0		
"Aug 08, 2006"										0		
"Aug 09, 2006"										0		
"Aug 10, 2006"										0		
"Aug 11, 2006"										0		
"Aug 12, 2006"										0		
"Aug 13, 2006"										0		
"Aug 14, 2006"										0		
"Aug 15, 2006"										0		
"Aug 16, 2006"										0		
"Aug 17, 2006"										0		
"Aug 18, 2006"										0		
"Aug 19, 2006"										0		
"Aug 20, 2006"										0		
"Aug 21, 2006"										0		
"Aug 22, 2006"										1.651		
"Aug 23, 2006"										3.303		
"Aug 24, 2006"										4.954		
"Aug 25, 2006"										6.605		
"Aug 26, 2006"										8.256		
"Aug 27, 2006"										9.908		
"Aug 28, 2006"										11.559		
"Aug 29, 2006"										13.21		
"Aug 30, 2006"										14.861		
"Aug 31, 2006"										16.513		
"Sep 01, 2006"										18.164		
"Sep 02, 2006"										19.815		
"Sep 03, 2006"										21.467		
"Sep 04, 2006"										23.118		
"Sep 05, 2006"										24.769		
"Sep 06, 2006"										26.42		
"Sep 07, 2006"										28.072		
"Sep 08, 2006"										29.723		
"Sep 09, 2006"										31.374		
"Sep 10, 2006"										33.025		
"Sep 11, 2006"										34.677		
"Sep 12, 2006"										36.328		
"Sep 13, 2006"										37.979		
"Sep 14, 2006"										39.631		
"Sep 15, 2006"										41.282		
"Sep 16, 2006"										42.933		
"Sep 17, 2006"										44.584		
"Sep 18, 2006"										46.236		
"Sep 19, 2006"										47.887		
"Sep 20, 2006"										49.538		
"Sep 21, 2006"										51.19		
"Sep 22, 2006"										52.841		
"Sep 23, 2006"										54.492		
"Sep 24, 2006"										56.143		
"Sep 25, 2006"										57.795		
"Sep 26, 2006"										59.446		
"Sep 27, 2006"										61.097		
"Sep 28, 2006"										62.748		
"Sep 29, 2006"										64.4		
"Sep 30, 2006"										66.051		
"Oct 01, 2006"										67.702		
"Oct 02, 2006"										69.354		
"Oct 03, 2006"										71.005		
"Oct 04, 2006"										72.656		
"Oct 05, 2006"										74.307		
"Oct 06, 2006"										75.959		
"Oct 07, 2006"										77.61		
"Oct 08, 2006"										79.261		
"Oct 09, 2006"										80.912		
"Oct 10, 2006"										82.564		
"Oct 11, 2006"										84.215		
"Oct 12, 2006"										85.866		
"Oct 13, 2006"										87.518		
"Oct 14, 2006"										89.169		
"Oct 15, 2006"										90.82		
"Oct 16, 2006"										92.471		
"Oct 17, 2006"										94.123		
"Oct 18, 2006"										95.774		
"Oct 19, 2006"										97.425		
"Oct 20, 2006"										99.076		
"Oct 21, 2006"										100.728		
"Oct 22, 2006"										102.379		
"Oct 23, 2006"										104.03		
"Oct 24, 2006"										105.682		
"Oct 25, 2006"										107.333		
"Oct 26, 2006"										108.984		
"Oct 27, 2006"										110.635		
"Oct 28, 2006"										112.287		
"Oct 29, 2006"										113.938		
"Oct 30, 2006"										115.589		
"Oct 31, 2006"										117.241		
"Nov 01, 2006"										118.892		
"Nov 02, 2006"										120.543		
"Nov 03, 2006"										122.194		
"Nov 04, 2006"										123.846		
"Nov 05, 2006"										125.497		
"Nov 06, 2006"										127.148		
"Nov 07, 2006"										128.799		
"Nov 08, 2006"										130.451		
"Nov 09, 2006"										132.102		
"Nov 10, 2006"										133.753		
"Nov 11, 2006"										135.405		
"Nov 12, 2006"										137.056		
"Nov 13, 2006"										138.707		
"Nov 14, 2006"										140.358		
"Nov 15, 2006"										142.01		
"Nov 16, 2006"										143.661		
"Nov 17, 2006"										145.312		
"Nov 18, 2006"										146.963		
"Nov 19, 2006"										148.615		
"Nov 20, 2006"										150.266		
"Nov 21, 2006"										151.917		
"Nov 22, 2006"										153.569		
"Nov 23, 2006"										155.22		
"Nov 24, 2006"										156.871		
"Nov 25, 2006"										158.522		
"Nov 26, 2006"										160.174		
"Nov 27, 2006"										161.825		
"Nov 28, 2006"										163.476		
"Nov 29, 2006"										165.127		
"Nov 30, 2006"										166.779		
"Dec 01, 2006"										168.43		
"Dec 02, 2006"										170.081		
"Dec 03, 2006"										171.733		
"Dec 04, 2006"										173.384		
"Dec 05, 2006"										175.035		
"Dec 06, 2006"										176.686		
"Dec 07, 2006"										178.338		
"Dec 08, 2006"										179.989		
"Dec 09, 2006"										181.64		
"Dec 10, 2006"										183.291		
"Dec 11, 2006"										184.943		
"Dec 12, 2006"										186.594		
"Dec 13, 2006"										188.245		
"Dec 14, 2006"										189.897		
"Dec 15, 2006"										191.548		
"Dec 16, 2006"										193.199		
"Dec 17, 2006"										194.85		
"Dec 18, 2006"										196.502		
"Dec 19, 2006"										198.153		
"Dec 20, 2006"										199.804		
"Dec 21, 2006"										201.456		
"Dec 22, 2006"										203.107		
"Dec 23, 2006"										204.758		
"Dec 24, 2006"										206.409		
"Dec 25, 2006"										208.061		
"Dec 26, 2006"										209.712		
"Dec 27, 2006"										211.363		
"Dec 28, 2006"										213.014		
"Dec 29, 2006"										214.666		
"Dec 30, 2006"										216.317		
"Dec 31, 2006"										217.968		
"Jan 01, 2007"										219.62		
"Jan 02, 2007"										221.271		
"Jan 03, 2007"										222.922		
"Jan 04, 2007"										224.573		
"Jan 05, 2007"										226.225		
"Jan 06, 2007"										227.876		
"Jan 07, 2007"										229.527		
"Jan 08, 2007"										231.178		
"Jan 09, 2007"										232.83		
"Jan 10, 2007"										234.481		
"Jan 11, 2007"										236.132		
"Jan 12, 2007"										237.784		
"Jan 13, 2007"										239.435		
"Jan 14, 2007"										241.086		
"Jan 15, 2007"										242.737		
"Jan 16, 2007"										244.389		
"Jan 17, 2007"										246.04		
"Jan 18, 2007"										247.691		
"Jan 19, 2007"										249.342		
"Jan 20, 2007"										250.994		
"Jan 21, 2007"										252.645		
"Jan 22, 2007"										254.296		
"Jan 23, 2007"										255.948		
"Jan 24, 2007"										257.599		
"Jan 25, 2007"										259.25		
"Jan 26, 2007"										260.901		
"Jan 27, 2007"										262.553		
"Jan 28, 2007"										264.204		
"Jan 29, 2007"										265.855		
"Jan 30, 2007"										267.506		
"Jan 31, 2007"										269.158		
"Feb 01, 2007"										270.809		
"Feb 02, 2007"										272.46		
"Feb 03, 2007"										274.112		
"Feb 04, 2007"										275.763		
"Feb 05, 2007"										277.414		
"Feb 06, 2007"										279.065		
"Feb 07, 2007"										280.717		
"Feb 08, 2007"										282.368		
"Feb 09, 2007"										284.019		
"Feb 10, 2007"										285.671		
"Feb 11, 2007"										287.322		
"Feb 12, 2007"										288.973		
"Feb 13, 2007"										290.624		
"Feb 14, 2007"										292.276		
"Feb 15, 2007"										293.927		
"Feb 16, 2007"										295.578		
"Feb 17, 2007"										297.229		
"Feb 18, 2007"										298.881		
"Feb 19, 2007"										300.532		
"Feb 20, 2007"										302.183		
"Feb 21, 2007"										303.835		
"Feb 22, 2007"										305.486		
"Feb 23, 2007"										307.137		
"Feb 24, 2007"										308.788		
"Feb 25, 2007"										310.44		
"Feb 26, 2007"										312.091		
"Feb 27, 2007"										313.742		
"Feb 28, 2007"										315.393		
"Mar 01, 2007"										317.045		
"Mar 02, 2007"										318.696		
"Mar 03, 2007"										320.347		
"Mar 04, 2007"										321.999		
"Mar 05, 2007"										323.65		
"Mar 06, 2007"										325.301		
"Mar 07, 2007"										326.952		
"Mar 08, 2007"										328.604		
"Mar 09, 2007"										330.255		
"Mar 10, 2007"										331.906		
"Mar 11, 2007"										333.557		
"Mar 12, 2007"										335.209		
"Mar 13, 2007"										336.86		
"Mar 14, 2007"										338.511		
"Mar 15, 2007"										340.163		
"Mar 16, 2007"										341.814		
"Mar 17, 2007"										343.465		
"Mar 18, 2007"										345.116		
"Mar 19, 2007"										346.768		
"Mar 20, 2007"										348.419		
"Mar 21, 2007"										350.07		
"Mar 22, 2007"										351.722		
"Mar 23, 2007"										353.373		
"Mar 24, 2007"										355.024		
"Mar 25, 2007"										356.675		
"Mar 26, 2007"										358.327		
"Mar 27, 2007"										359.978		
"Mar 28, 2007"										361.629		
"Mar 29, 2007"										363.28		
"Mar 30, 2007"										364.932		
"Mar 31, 2007"										366.583		
"Apr 01, 2007"										368.234		
"Apr 02, 2007"										369.886		
"Apr 03, 2007"										371.537		
"Apr 04, 2007"										373.188		
"Apr 05, 2007"										374.839		
"Apr 06, 2007"										376.491		
"Apr 07, 2007"										378.142		
"Apr 08, 2007"										379.793		
"Apr 09, 2007"										381.444		
"Apr 10, 2007"										383.096		
"Apr 11, 2007"										384.747		
"Apr 12, 2007"										386.398		
"Apr 13, 2007"										388.05		
"Apr 14, 2007"										389.701		
"Apr 15, 2007"										391.352		
"Apr 16, 2007"										393.003		
"Apr 17, 2007"										394.655		
"Apr 18, 2007"										396.306		
"Apr 19, 2007"										397.957		
"Apr 20, 2007"										399.608		
"Apr 21, 2007"										401.26		
"Apr 22, 2007"										402.911		
"Apr 23, 2007"										404.562		
"Apr 24, 2007"										406.214		
"Apr 25, 2007"										407.865		
"Apr 26, 2007"										409.516		
"Apr 27, 2007"										411.167		
"Apr 28, 2007"										412.819		
"Apr 29, 2007"										414.47		
"Apr 30, 2007"										416.121		
"May 01, 2007"										417.772		
"May 02, 2007"										419.424		
"May 03, 2007"										421.075		
"May 04, 2007"										422.726		
"May 05, 2007"										424.378		
"May 06, 2007"										426.029		
"May 07, 2007"										427.68		
"May 08, 2007"										429.331		
"May 09, 2007"										430.983		
"May 10, 2007"										432.634		
"May 11, 2007"										434.285		
"May 12, 2007"										435.937		
"May 13, 2007"										437.588		
"May 14, 2007"										439.239		
"May 15, 2007"										440.89		
