names	SamSmellsOfApricots	Don't Subscribe	ejsafc	Jack Massey Welsh	JackMasseyWelsh	JacksEpicYoutubeChannelFullOfFunTimesAndFunHiRickX	JACKSEPICYOUTUBECHANNELFULLOFFUNTIMESANDFUNHIRICKXHASNOTHINGONMEIAMTHESUPERIORCHANNELIHAVEMORECHARAC	JackSucksAtClips	JackSucksAtGeography	JackSucksAtLife	JackSucksAtPopUpPirate	JackSucksAtStuff	SamSmellsOfApricot	turd boi420	TDD41
bar colors	#1d6996	#01a9cf	#f7ad57	#00d6cf	#518cb1	#ff76c4	#ff0000	#6d25ee	#06ad00	#ff3cc6	#f80101	#d6d96d	#aa47bc	#ec407a	#b93c5b
bar images	1.jpg	2.jpg	3.jpg	4.jpg	5.jpg	6.jpg	7.jpg	8.jpg	9.jpg	10.jpg	11.jpg	12.jpg	13.jpg	14.jpg	15.jpg
"Sep 27, 2008"	0														
"Sep 28, 2008"	0.285714286														
"Sep 29, 2008"	0.571428571														
"Sep 30, 2008"	0.857142857														
"Oct 01, 2008"	1.142857143														
"Oct 02, 2008"	1.428571429														
"Oct 03, 2008"	1.714285714														
"Oct 04, 2008"	2														
"Oct 05, 2008"	2.285714286														
"Oct 06, 2008"	2.571428571														
"Oct 07, 2008"	2.857142857														
"Oct 08, 2008"	3.142857143														
"Oct 09, 2008"	3.428571429														
"Oct 10, 2008"	3.714285714														
"Oct 11, 2008"	4														
"Oct 12, 2008"	4.285714286														
"Oct 13, 2008"	4.571428571														
"Oct 14, 2008"	4.857142857														
"Oct 15, 2008"	5.142857143														
"Oct 16, 2008"	5.428571429														
"Oct 17, 2008"	5.714285714														
"Oct 18, 2008"	6														
"Oct 19, 2008"	6.285714286														
"Oct 20, 2008"	6.571428571														
"Oct 21, 2008"	6.857142857														
"Oct 22, 2008"	7.142857143														
"Oct 23, 2008"	7.428571429														
"Oct 24, 2008"	7.714285714														
"Oct 25, 2008"	8														
"Oct 26, 2008"	8.285714286														
"Oct 27, 2008"	8.571428571														
"Oct 28, 2008"	8.857142857														
"Oct 29, 2008"	9.142857143														
"Oct 30, 2008"	9.428571429														
"Oct 31, 2008"	9.714285714														
"Nov 01, 2008"	10														
"Nov 02, 2008"	10.75														
"Nov 03, 2008"	11.5														
"Nov 04, 2008"	12.25														
"Nov 05, 2008"	13														
"Nov 06, 2008"	13.75														
"Nov 07, 2008"	14.5														
"Nov 08, 2008"	15.25														
"Nov 09, 2008"	16														
"Nov 10, 2008"	16.75														
"Nov 11, 2008"	17.5														
"Nov 12, 2008"	18.25														
"Nov 13, 2008"	19														
"Nov 14, 2008"	19.75														
"Nov 15, 2008"	20.5														
"Nov 16, 2008"	21.25														
"Nov 17, 2008"	22														
"Nov 18, 2008"	22.75														
"Nov 19, 2008"	23.5														
"Nov 20, 2008"	24.25														
"Nov 21, 2008"	25														
"Nov 22, 2008"	25.75														
"Nov 23, 2008"	26.5														
"Nov 24, 2008"	27.25														
"Nov 25, 2008"	28														
"Nov 26, 2008"	28.75														
"Nov 27, 2008"	29.5														
"Nov 28, 2008"	30.25														
"Nov 29, 2008"	31														
"Nov 30, 2008"	31.75														
"Dec 01, 2008"	32.5														
"Dec 02, 2008"	33.25														
"Dec 03, 2008"	34														
"Dec 04, 2008"	34.66666667														
"Dec 05, 2008"	35.33333333														
"Dec 06, 2008"	36														
"Dec 07, 2008"	36.66666667														
"Dec 08, 2008"	37.33333333														
"Dec 09, 2008"	38														
"Dec 10, 2008"	38.66666667														
"Dec 11, 2008"	39.33333333														
"Dec 12, 2008"	40														
"Dec 13, 2008"	40.66666667														
"Dec 14, 2008"	41.33333333														
"Dec 15, 2008"	42														
"Dec 16, 2008"	42.66666667														
"Dec 17, 2008"	43.33333333														
"Dec 18, 2008"	44														
"Dec 19, 2008"	44.66666667														
"Dec 20, 2008"	45.33333333														
"Dec 21, 2008"	46														
"Dec 22, 2008"	46.66666667														
"Dec 23, 2008"	47.33333333														
"Dec 24, 2008"	48														
"Dec 25, 2008"	48.66666667														
"Dec 26, 2008"	49.33333333														
"Dec 27, 2008"	50														
"Dec 28, 2008"	51.77777778														
"Dec 29, 2008"	53.55555556														
"Dec 30, 2008"	55.33333333														
"Dec 31, 2008"	57.11111111														
"Jan 01, 2009"	58.88888889														
"Jan 02, 2009"	60.66666667														
"Jan 03, 2009"	62.44444444														
"Jan 04, 2009"	64.22222222														
"Jan 05, 2009"	66														
"Jan 06, 2009"	67.77777778														
"Jan 07, 2009"	69.55555556														
"Jan 08, 2009"	71.33333333														
"Jan 09, 2009"	73.11111111														
"Jan 10, 2009"	74.88888889														
"Jan 11, 2009"	76.66666667														
"Jan 12, 2009"	78.44444444														
"Jan 13, 2009"	80.22222222														
"Jan 14, 2009"	82														
"Jan 15, 2009"	83.4														
"Jan 16, 2009"	84.8														
"Jan 17, 2009"	86.2														
"Jan 18, 2009"	87.6														
"Jan 19, 2009"	89														
"Jan 20, 2009"	90.4														
"Jan 21, 2009"	91.8														
"Jan 22, 2009"	93.2														
"Jan 23, 2009"	94.6														
"Jan 24, 2009"	96														
"Jan 25, 2009"	97.4														
"Jan 26, 2009"	98.8														
"Jan 27, 2009"	100.2														
"Jan 28, 2009"	101.6														
"Jan 29, 2009"	103														
"Jan 30, 2009"	104.4														
"Jan 31, 2009"	105.8														
"Feb 01, 2009"	107.2														
"Feb 02, 2009"	108.6														
