names	a6d	TapL	Astelic	JustVurb	BadBoyHalo	Skeppy	Spifey	F1NN5TER	Zelk	MegaPVP
Bar colors	#030303	#03a10c	#f2d2f9	#0e2149	#f10020	#5cddfc	#70502e	#256b7a	#fa7a2f	#a00104
Bar images	x	x	x	x	x	x	x	x	x	x
"May 28, 2012"					0					
"May 29, 2012"					0					
"May 30, 2012"					0					
"May 31, 2012"					0					
"Jun 01, 2012"					0					
"Jun 02, 2012"					0					
"Jun 03, 2012"					0					
"Jun 04, 2012"					0					
"Jun 05, 2012"					7.438					
"Jun 06, 2012"					14.875					
"Jun 07, 2012"					22.313					
"Jun 08, 2012"					29.75					
"Jun 09, 2012"					37.188					
"Jun 10, 2012"					44.625					
"Jun 11, 2012"					52.063					
"Jun 12, 2012"					59.5					
"Jun 13, 2012"					66.938					
"Jun 14, 2012"					74.375					
"Jun 15, 2012"					81.813					
"Jun 16, 2012"					89.25					
"Jun 17, 2012"					96.688					
"Jun 18, 2012"					104.125					
"Jun 19, 2012"					111.563					
"Jun 20, 2012"					119					
"Jun 21, 2012"					132					
"Jun 22, 2012"					154					
"Jun 23, 2012"					192.333					
"Jun 24, 2012"					230.667					
"Jun 25, 2012"					269					
"Jun 26, 2012"					330					
"Jun 27, 2012"					368					
"Jun 28, 2012"					385					
"Jun 29, 2012"					404					
"Jun 30, 2012"					423					
"Jul 01, 2012"					511					
"Jul 02, 2012"					539					
"Jul 03, 2012"					576					
"Jul 04, 2012"					606					
"Jul 05, 2012"					643					
"Jul 06, 2012"					690					
"Jul 07, 2012"					750					
"Jul 08, 2012"					808					
"Jul 09, 2012"					882					
"Jul 10, 2012"					911					
"Jul 11, 2012"					964					
"Jul 12, 2012"					1000					
"Jul 13, 2012"					1028					
"Jul 14, 2012"					1071					
"Jul 15, 2012"					1155					
"Jul 16, 2012"					1203					
"Jul 17, 2012"					1216					
"Jul 18, 2012"					1248					
"Jul 19, 2012"					1289					
"Jul 20, 2012"					1310					
"Jul 21, 2012"					1398					
"Jul 22, 2012"					1432					
"Jul 23, 2012"					1462					
"Jul 24, 2012"					1499					
"Jul 25, 2012"					1540					
"Jul 26, 2012"					1606					
"Jul 27, 2012"					1637					
"Jul 28, 2012"					1670					
"Jul 29, 2012"					1732					
"Jul 30, 2012"					1770					
"Jul 31, 2012"					1843					
"Aug 01, 2012"					1879					
"Aug 02, 2012"					1903					
"Aug 03, 2012"					1947					
"Aug 04, 2012"					1977					
"Aug 05, 2012"					1998					
"Aug 06, 2012"					2093					
"Aug 07, 2012"					2127					
"Aug 08, 2012"					2216					
"Aug 09, 2012"					2275					
"Aug 10, 2012"					2308					
"Aug 11, 2012"					2366					
"Aug 12, 2012"					2401					
"Aug 13, 2012"					2621					
"Aug 14, 2012"					2663					
"Aug 15, 2012"					2684					
"Aug 16, 2012"					2723					
"Aug 17, 2012"					2733					
"Aug 18, 2012"					2801					
"Aug 19, 2012"					2836					
"Aug 20, 2012"					2850					
"Aug 21, 2012"					2990					
"Aug 22, 2012"					3035					
"Aug 23, 2012"					3049					
"Aug 24, 2012"					3109					
"Aug 25, 2012"					3151					
"Aug 26, 2012"					3199					
"Aug 27, 2012"					3213					
"Aug 28, 2012"					3238					
"Aug 29, 2012"					3256					
"Aug 30, 2012"					3271					
"Aug 31, 2012"					3301					
"Sep 01, 2012"					3354					
"Sep 02, 2012"					3370					
"Sep 03, 2012"					3471					
"Sep 04, 2012"					3486					
"Sep 05, 2012"					3528					
"Sep 06, 2012"					3627					
"Sep 07, 2012"					3649					
"Sep 08, 2012"					3676					
"Sep 09, 2012"					3716					
"Sep 10, 2012"					3748					
"Sep 11, 2012"					3771					
"Sep 12, 2012"					3778					
"Sep 13, 2012"					3786					
"Sep 14, 2012"					3813					
"Sep 15, 2012"					3852					
"Sep 16, 2012"					3881					
"Sep 17, 2012"					3917					
"Sep 18, 2012"					3939					
"Sep 19, 2012"					3962					
"Sep 20, 2012"					3989					
"Sep 21, 2012"					4014					
"Sep 22, 2012"					4031					
"Sep 23, 2012"					4072					
"Sep 24, 2012"					4084					
"Sep 25, 2012"					4122					
