names	Grian	SmallishBeans	Dangthatsalongname	BigB - Minecraft	EthosLab	BdoubleO100	PearlescentMoon	InTheLittleWood ak...	GoodTimesWithScar	impulseSV	Tango Tek	ZombieCleo	Solidarity	MCSkizzleman
Bar colors	#8a0a01	#3866f9	#48bfea	#c0efff	#87CEEB	#35168b	#fff5c3	#72ca30	#306166	#f2ca37	#fc1900	#abadaa	#373797	#0020ff
Bar images	x	x	x	x	x	x	x	x	x	x	x	x	x	x
8-Apr-08								0						
9-Apr-08								0						
10-Apr-08								0						
11-Apr-08								0						
12-Apr-08								0						
13-Apr-08								1.487027428						
14-Apr-08								2.974054855						
15-Apr-08								4.461082283						
16-Apr-08								5.948109711						
17-Apr-08								7.435137139						
18-Apr-08								8.922164566						
19-Apr-08								10.40919199						
20-Apr-08								11.89621942						
21-Apr-08								13.38324685						
22-Apr-08								14.87027428						
23-Apr-08								16.3573017						
24-Apr-08								17.84432913						
25-Apr-08								19.33135656						
26-Apr-08								20.81838399						
27-Apr-08								22.30541142						
28-Apr-08								23.79243884						
29-Apr-08								25.27946627						
30-Apr-08								26.7664937						
1-May-08								28.25352113						
2-May-08								29.74054855						
3-May-08								31.22757598						
4-May-08								32.71460341						
5-May-08								34.20163084						
6-May-08								35.68865827						
7-May-08								37.17568569						
8-May-08								38.66271312						
9-May-08								40.14974055						
10-May-08								41.63676798						
11-May-08								43.1237954						
12-May-08								44.61082283						
13-May-08								46.09785026						
14-May-08								47.58487769						
15-May-08								49.07190511						
16-May-08								50.55893254						
17-May-08								52.04595997						
18-May-08								53.5329874						
19-May-08								55.02001483						
20-May-08								56.50704225						
21-May-08								57.99406968						
22-May-08								59.48109711						
23-May-08								60.96812454						
24-May-08								62.45515196						
25-May-08								63.94217939						
26-May-08								65.42920682						
27-May-08								66.91623425						
28-May-08								68.40326168						
29-May-08								69.8902891						
30-May-08								71.37731653						
31-May-08								72.86434396						
1-Jun-08								74.35137139						
2-Jun-08								75.83839881						
3-Jun-08								77.32542624						
4-Jun-08								78.81245367						
5-Jun-08								80.2994811						
6-Jun-08								81.78650852						
7-Jun-08								83.27353595						
8-Jun-08								84.76056338						
9-Jun-08								86.24759081						
10-Jun-08								87.73461824						
11-Jun-08								89.22164566						
12-Jun-08								90.70867309						
13-Jun-08								92.19570052						
14-Jun-08								93.68272795						
15-Jun-08								95.16975537						
16-Jun-08								96.6567828						
17-Jun-08								98.14381023						
18-Jun-08								99.63083766						
19-Jun-08								101.1178651						
20-Jun-08								102.6048925						
