Date	Technoblade	Technothepig	StudioLORE	Derp Squad
Bar colors	#f59e9d	#c3ecb0	#ffaf6d	#689f39
Bar images	x	x	x	x
"Oct 28, 2013"	0		0	0
"Oct 29, 2013"	0		0	0
"Oct 30, 2013"	0		0	0
"Oct 31, 2013"	0		0	0
"Nov 01, 2013"	0		0	0
"Nov 02, 2013"	1		0	0
"Nov 03, 2013"	0		0	0
"Nov 04, 2013"	0		0	0
"Nov 05, 2013"	1		0	0
"Nov 06, 2013"	0		0	0
"Nov 07, 2013"	1		0	0
"Nov 08, 2013"	0		0	0
"Nov 09, 2013"	1		0	0
"Nov 10, 2013"	1		0	0
"Nov 11, 2013"	5		0	0
"Nov 12, 2013"	15		0	0
"Nov 13, 2013"	6		0	0
"Nov 14, 2013"	2		0	0
"Nov 15, 2013"	1		0	0
"Nov 16, 2013"	2		0	0
"Nov 17, 2013"	1		0	0
"Nov 18, 2013"	2		0	0
"Nov 19, 2013"	2		0	0
"Nov 20, 2013"	2		0	0
"Nov 21, 2013"	2		0	0
"Nov 22, 2013"	2		0	0
"Nov 23, 2013"	2		0	0
"Nov 24, 2013"	2		1	0
"Nov 25, 2013"	2		0	0
"Nov 26, 2013"	2		0	0
"Nov 27, 2013"	1		0	0
"Nov 28, 2013"	2		0	0
"Nov 29, 2013"	2		0	0
"Nov 30, 2013"	2		0	0
"Dec 01, 2013"	2		0	0
"Dec 02, 2013"	2		0	0
"Dec 03, 2013"	2		0	0
"Dec 04, 2013"	2		0	0
"Dec 05, 2013"	2		0	0
"Dec 06, 2013"	1		0	0
"Dec 07, 2013"	2		0	0
"Dec 08, 2013"	2		0	0
"Dec 09, 2013"	2		0	0
"Dec 10, 2013"	2		0	0
"Dec 11, 2013"	2		0	0
"Dec 12, 2013"	2		0	0
"Dec 13, 2013"	2		0	0
"Dec 14, 2013"	2		0	0
"Dec 15, 2013"	2		0	0
"Dec 16, 2013"	1		0	0
"Dec 17, 2013"	2		0	0
"Dec 18, 2013"	2		0	0
"Dec 19, 2013"	2		0	0
"Dec 20, 2013"	2		1	0
"Dec 21, 2013"	2		0	0
"Dec 22, 2013"	2		0	0
"Dec 23, 2013"	2		0	0
"Dec 24, 2013"	2		0	0
"Dec 25, 2013"	2		0	0
"Dec 26, 2013"	1		0	0
"Dec 27, 2013"	2		0	0
"Dec 28, 2013"	2		0	0
"Dec 29, 2013"	2		0	0
"Dec 30, 2013"	2		0	0
"Dec 31, 2013"	2		0	0
"Jan 01, 2014"	2		0	0
"Jan 02, 2014"	2		0	0
"Jan 03, 2014"	2		0	0
"Jan 04, 2014"	1		0	0
"Jan 05, 2014"	2		0	0
"Jan 06, 2014"	2		0	0
"Jan 07, 2014"	2		0	0
"Jan 08, 2014"	2		0	0
"Jan 09, 2014"	2		0	0
"Jan 10, 2014"	2		0	0
"Jan 11, 2014"	2		0	0
"Jan 12, 2014"	2		0	0
"Jan 13, 2014"	2		0	0
"Jan 14, 2014"	1		0	0
"Jan 15, 2014"	2		0	0
"Jan 16, 2014"	2		1	0
"Jan 17, 2014"	2		0	0
"Jan 18, 2014"	2		0	0
"Jan 19, 2014"	2		0	0
"Jan 20, 2014"	2		0	0
"Jan 21, 2014"	2		0	0
"Jan 22, 2014"	2		0	0
"Jan 23, 2014"	2		0	0
"Jan 24, 2014"	1		0	0
"Jan 25, 2014"	2		0	0
"Jan 26, 2014"	2		0	0
"Jan 27, 2014"	2		0	0
"Jan 28, 2014"	2		0	0
"Jan 29, 2014"	2		0	0
"Jan 30, 2014"	2		0	0
