names	BadBoyHalo	DanTDM	El Mariana	FitMC	Foolish Gamers	Jaiden Animations	luzugames	Maximus	MissaSinfonia	Ph1LzA	Roier	elrubiusOMG	Slimecicle	SpreenDMC	VEGETTA777	Wilbur Soot	Quackity
Bar colors	#f80222	#61b0f3	#fd8787	#9e4f2e	#298dbf	#ca9afe	#a20300	#772625	#00736d	#f8f4b3	#c20000	#e9bd90	#74ed24	#000000	#471d5d	#925283	#b99795
Bar images	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
Indicator	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
"Sep 14, 2006"										0							
"Sep 15, 2006"										0							
"Sep 16, 2006"										0							
"Sep 17, 2006"										0							
"Sep 18, 2006"										0							
"Sep 19, 2006"										0							
"Sep 20, 2006"										0							
"Sep 21, 2006"										0							
"Sep 22, 2006"										0							
"Sep 23, 2006"										0							
"Sep 24, 2006"										0							
"Sep 25, 2006"										0							
"Sep 26, 2006"										0							
"Sep 27, 2006"										0							
"Sep 28, 2006"										0							
"Sep 29, 2006"										0							
"Sep 30, 2006"										0							
"Oct 01, 2006"										0							
"Oct 02, 2006"										0							
"Oct 03, 2006"										0							
"Oct 04, 2006"										0							
"Oct 05, 2006"										0							
"Oct 06, 2006"										0							
"Oct 07, 2006"										0							
"Oct 08, 2006"										0							
"Oct 09, 2006"										0							
"Oct 10, 2006"										0							
"Oct 11, 2006"										0							
"Oct 12, 2006"										0							
"Oct 13, 2006"										0							
"Oct 14, 2006"										0							
"Oct 15, 2006"										0							
"Oct 16, 2006"										0							
"Oct 17, 2006"										0							
"Oct 18, 2006"										0							
"Oct 19, 2006"										0							
"Oct 20, 2006"										0							
"Oct 21, 2006"										0							
"Oct 22, 2006"										0							
"Oct 23, 2006"										0							
"Oct 24, 2006"										0							
"Oct 25, 2006"										0							
"Oct 26, 2006"										0							
"Oct 27, 2006"										0							
"Oct 28, 2006"										0							
"Oct 29, 2006"										0							
"Oct 30, 2006"										0							
"Oct 31, 2006"										0							
"Nov 01, 2006"										0							
"Nov 02, 2006"										0							
"Nov 03, 2006"										0							
"Nov 04, 2006"										0							
"Nov 05, 2006"										0							
"Nov 06, 2006"										0							
"Nov 07, 2006"										0							
"Nov 08, 2006"										0							
"Nov 09, 2006"										0							
"Nov 10, 2006"										0							
"Nov 11, 2006"										0							
"Nov 12, 2006"										0							
"Nov 13, 2006"										0							
"Nov 14, 2006"										0							
"Nov 15, 2006"										0							
"Nov 16, 2006"										0							
"Nov 17, 2006"										0							
"Nov 18, 2006"										0							
"Nov 19, 2006"										0							
"Nov 20, 2006"										0							
"Nov 21, 2006"										0							
"Nov 22, 2006"										0							
"Nov 23, 2006"										0							
"Nov 24, 2006"										0							
"Nov 25, 2006"										0							
"Nov 26, 2006"										0							
"Nov 27, 2006"										0							
"Nov 28, 2006"										0							
"Nov 29, 2006"										0							
"Nov 30, 2006"										0							
"Dec 01, 2006"										0							
"Dec 02, 2006"										0							
"Dec 03, 2006"										0							
"Dec 04, 2006"										0							
"Dec 05, 2006"										0							
"Dec 06, 2006"										0							
"Dec 07, 2006"										0							
"Dec 08, 2006"										0							
"Dec 09, 2006"										0.052994171							
"Dec 10, 2006"										0.105988341							
"Dec 11, 2006"										0.158982512							
"Dec 12, 2006"										0.211976683							
"Dec 13, 2006"										0.264970853							
"Dec 14, 2006"										0.317965024							
"Dec 15, 2006"										0.370959194							
"Dec 16, 2006"										0.423953365							
"Dec 17, 2006"										0.476947536							
"Dec 18, 2006"										0.529941706							
"Dec 19, 2006"										0.582935877							
"Dec 20, 2006"										0.635930048							
"Dec 21, 2006"										0.688924218							
"Dec 22, 2006"										0.741918389							
"Dec 23, 2006"										0.79491256							
"Dec 24, 2006"										0.84790673							
"Dec 25, 2006"										0.900900901							
"Dec 26, 2006"										0.953895072							
"Dec 27, 2006"										1.006889242							
"Dec 28, 2006"										1.059883413							
"Dec 29, 2006"										1.112877583							
"Dec 30, 2006"										1.165871754							
"Dec 31, 2006"										1.218865925							
"Jan 01, 2007"										1.271860095							
"Jan 02, 2007"										1.324854266							
"Jan 03, 2007"										1.377848437							
"Jan 04, 2007"										1.430842607							
"Jan 05, 2007"										1.483836778							
"Jan 06, 2007"										1.536830949							
"Jan 07, 2007"										1.589825119							
"Jan 08, 2007"										1.64281929							
"Jan 09, 2007"										1.695813461							
"Jan 10, 2007"										1.748807631							
"Jan 11, 2007"										1.801801802							
"Jan 12, 2007"										1.854795972							
"Jan 13, 2007"										1.907790143							
"Jan 14, 2007"										1.960784314							
"Jan 15, 2007"										2.013778484							
"Jan 16, 2007"										2.066772655							
"Jan 17, 2007"										2.119766826							
"Jan 18, 2007"										2.172760996							
"Jan 19, 2007"										2.225755167							
"Jan 20, 2007"										2.278749338							
"Jan 21, 2007"										2.331743508							
"Jan 22, 2007"										2.384737679							
"Jan 23, 2007"										2.437731849							
"Jan 24, 2007"										2.49072602							
"Jan 25, 2007"										2.543720191							
"Jan 26, 2007"										2.596714361							
"Jan 27, 2007"										2.649708532							
"Jan 28, 2007"										2.702702703							
"Jan 29, 2007"										2.755696873							
"Jan 30, 2007"										2.808691044							
"Jan 31, 2007"										2.861685215							
"Feb 01, 2007"										2.914679385							
"Feb 02, 2007"										2.967673556							
"Feb 03, 2007"										3.020667727							
"Feb 04, 2007"										3.073661897							
"Feb 05, 2007"										3.126656068							
"Feb 06, 2007"										3.179650238							
"Feb 07, 2007"										3.232644409							
"Feb 08, 2007"										3.28563858							
"Feb 09, 2007"										3.33863275							
"Feb 10, 2007"										3.391626921							
"Feb 11, 2007"										3.444621092							
"Feb 12, 2007"										3.497615262							
"Feb 13, 2007"										3.550609433							
"Feb 14, 2007"										3.603603604							
"Feb 15, 2007"										3.656597774							
"Feb 16, 2007"										3.709591945							
"Feb 17, 2007"										3.762586116							
"Feb 18, 2007"										3.815580286							
"Feb 19, 2007"										3.868574457							
"Feb 20, 2007"										3.921568627							
"Feb 21, 2007"										3.974562798							
"Feb 22, 2007"										4.027556969							
"Feb 23, 2007"										4.080551139							
"Feb 24, 2007"										4.13354531							
"Feb 25, 2007"										4.186539481							
"Feb 26, 2007"										4.239533651							
"Feb 27, 2007"										4.292527822							
"Feb 28, 2007"										4.345521993							
"Mar 01, 2007"										4.398516163							
"Mar 02, 2007"										4.451510334							
"Mar 03, 2007"										4.504504505							
"Mar 04, 2007"										4.557498675							
"Mar 05, 2007"										4.610492846							
"Mar 06, 2007"										4.663487016							
"Mar 07, 2007"										4.716481187							
"Mar 08, 2007"										4.769475358							
"Mar 09, 2007"										4.822469528							
"Mar 10, 2007"										4.875463699							
"Mar 11, 2007"										4.92845787							
"Mar 12, 2007"										4.98145204							
"Mar 13, 2007"										5.034446211							
"Mar 14, 2007"										5.087440382							
"Mar 15, 2007"										5.140434552							
"Mar 16, 2007"										5.193428723							
"Mar 17, 2007"										5.246422893							
"Mar 18, 2007"										5.299417064							
"Mar 19, 2007"										5.352411235							
"Mar 20, 2007"										5.405405405							
"Mar 21, 2007"										5.458399576							
"Mar 22, 2007"										5.511393747							
"Mar 23, 2007"										5.564387917							
"Mar 24, 2007"										5.617382088							
"Mar 25, 2007"										5.670376259							
"Mar 26, 2007"										5.723370429							
"Mar 27, 2007"										5.7763646							
"Mar 28, 2007"										5.829358771							
"Mar 29, 2007"										5.882352941							
"Mar 30, 2007"										5.935347112							
"Mar 31, 2007"										5.988341282							
"Apr 01, 2007"										6.041335453							
"Apr 02, 2007"										6.094329624							
"Apr 03, 2007"										6.147323794							
"Apr 04, 2007"										6.200317965							
"Apr 05, 2007"										6.253312136							
"Apr 06, 2007"										6.306306306							
"Apr 07, 2007"										6.359300477							
"Apr 08, 2007"										6.412294648							
"Apr 09, 2007"										6.465288818							
"Apr 10, 2007"										6.518282989							
"Apr 11, 2007"										6.57127716							
"Apr 12, 2007"										6.62427133							
"Apr 13, 2007"										6.677265501							
"Apr 14, 2007"										6.730259671							
"Apr 15, 2007"										6.783253842							
"Apr 16, 2007"										6.836248013							
"Apr 17, 2007"										6.889242183							
"Apr 18, 2007"										6.942236354							
"Apr 19, 2007"										6.995230525							
"Apr 20, 2007"										7.048224695							
"Apr 21, 2007"										7.101218866							
"Apr 22, 2007"										7.154213037							
"Apr 23, 2007"										7.207207207							
"Apr 24, 2007"										7.260201378							
"Apr 25, 2007"										7.313195548							
"Apr 26, 2007"										7.366189719							
"Apr 27, 2007"										7.41918389							
"Apr 28, 2007"										7.47217806							
"Apr 29, 2007"										7.525172231							
"Apr 30, 2007"										7.578166402							
"May 01, 2007"										7.631160572							
"May 02, 2007"										7.684154743							
"May 03, 2007"										7.737148914							
"May 04, 2007"										7.790143084							
"May 05, 2007"										7.843137255							
"May 06, 2007"										7.896131426							
"May 07, 2007"										7.949125596							
"May 08, 2007"										8.002119767							
"May 09, 2007"										8.055113937							
"May 10, 2007"										8.108108108							
"May 11, 2007"										8.161102279							
"May 12, 2007"										8.214096449							
"May 13, 2007"										8.26709062							
"May 14, 2007"										8.320084791							
"May 15, 2007"										8.373078961							
"May 16, 2007"										8.426073132							
"May 17, 2007"										8.479067303							
"May 18, 2007"										8.532061473							
"May 19, 2007"										8.585055644							
"May 20, 2007"										8.638049815							
"May 21, 2007"										8.691043985							
"May 22, 2007"										8.744038156							
"May 23, 2007"										8.797032326							
"May 24, 2007"										8.850026497							
"May 25, 2007"										8.903020668							
"May 26, 2007"										8.956014838							
"May 27, 2007"										9.009009009							
"May 28, 2007"										9.06200318							
"May 29, 2007"										9.11499735							
"May 30, 2007"										9.167991521							
"May 31, 2007"										9.220985692							
"Jun 01, 2007"										9.273979862							
"Jun 02, 2007"										9.326974033							
"Jun 03, 2007"										9.379968203							
"Jun 04, 2007"										9.432962374							
"Jun 05, 2007"										9.485956545							
"Jun 06, 2007"										9.538950715							
"Jun 07, 2007"										9.591944886							
"Jun 08, 2007"										9.644939057							
"Jun 09, 2007"										9.697933227							
"Jun 10, 2007"										9.750927398							
"Jun 11, 2007"										9.803921569							
"Jun 12, 2007"										9.856915739							
"Jun 13, 2007"										9.90990991							
"Jun 14, 2007"										9.962904081							
"Jun 15, 2007"										10.01589825							
"Jun 16, 2007"										10.06889242							
"Jun 17, 2007"										10.12188659							
"Jun 18, 2007"										10.17488076							
"Jun 19, 2007"										10.22787493							
"Jun 20, 2007"										10.2808691							
"Jun 21, 2007"										10.33386328							
"Jun 22, 2007"										10.38685745							
"Jun 23, 2007"										10.43985162							
"Jun 24, 2007"										10.49284579							
"Jun 25, 2007"										10.54583996							
"Jun 26, 2007"										10.59883413							
"Jun 27, 2007"										10.6518283							
"Jun 28, 2007"										10.70482247							
"Jun 29, 2007"										10.75781664							
"Jun 30, 2007"										10.81081081							
"Jul 01, 2007"										10.86380498							
"Jul 02, 2007"										10.91679915							
"Jul 03, 2007"										10.96979332							
"Jul 04, 2007"										11.02278749							
"Jul 05, 2007"										11.07578166							
"Jul 06, 2007"										11.12877583							
"Jul 07, 2007"										11.18177001							
"Jul 08, 2007"										11.23476418							
"Jul 09, 2007"										11.28775835							
"Jul 10, 2007"										11.34075252							
"Jul 11, 2007"										11.39374669							
"Jul 12, 2007"										11.44674086							
"Jul 13, 2007"										11.49973503							
"Jul 14, 2007"										11.5527292							
"Jul 15, 2007"										11.60572337							
"Jul 16, 2007"										11.65871754							
"Jul 17, 2007"										11.71171171							
"Jul 18, 2007"										11.76470588							
"Jul 19, 2007"										11.81770005							
"Jul 20, 2007"										11.87069422							
"Jul 21, 2007"										11.92368839							
"Jul 22, 2007"										11.97668256							
"Jul 23, 2007"										12.02967674							
"Jul 24, 2007"										12.08267091							
"Jul 25, 2007"										12.13566508							
"Jul 26, 2007"										12.18865925							
"Jul 27, 2007"										12.24165342							
"Jul 28, 2007"										12.29464759							
"Jul 29, 2007"										12.34764176							
"Jul 30, 2007"										12.40063593							
"Jul 31, 2007"										12.4536301							
"Aug 01, 2007"										12.50662427							
"Aug 02, 2007"										12.55961844							
"Aug 03, 2007"										12.61261261							
"Aug 04, 2007"										12.66560678							
"Aug 05, 2007"										12.71860095							
"Aug 06, 2007"										12.77159512							
"Aug 07, 2007"										12.8245893							
"Aug 08, 2007"										12.87758347							
"Aug 09, 2007"										12.93057764							
"Aug 10, 2007"										12.98357181							
"Aug 11, 2007"										13.03656598							
"Aug 12, 2007"										13.08956015							
"Aug 13, 2007"										13.14255432							
"Aug 14, 2007"										13.19554849							
"Aug 15, 2007"										13.24854266							
"Aug 16, 2007"										13.30153683							
"Aug 17, 2007"										13.354531							
"Aug 18, 2007"										13.40752517							
"Aug 19, 2007"										13.46051934							
"Aug 20, 2007"										13.51351351							
"Aug 21, 2007"										13.56650768							
"Aug 22, 2007"										13.61950185							
"Aug 23, 2007"										13.67249603							
"Aug 24, 2007"										13.7254902							
"Aug 25, 2007"										13.77848437							
"Aug 26, 2007"										13.83147854							
"Aug 27, 2007"										13.88447271							
"Aug 28, 2007"										13.93746688							
"Aug 29, 2007"										13.99046105							
"Aug 30, 2007"										14.04345522							
"Aug 31, 2007"										14.09644939							
"Sep 01, 2007"										14.14944356							
"Sep 02, 2007"										14.20243773							
"Sep 03, 2007"										14.2554319							
"Sep 04, 2007"										14.30842607							
"Sep 05, 2007"										14.36142024							
"Sep 06, 2007"										14.41441441							
"Sep 07, 2007"										14.46740859							
"Sep 08, 2007"										14.52040276							
"Sep 09, 2007"										14.57339693							
"Sep 10, 2007"										14.6263911							
"Sep 11, 2007"										14.67938527							
"Sep 12, 2007"										14.73237944							
"Sep 13, 2007"										14.78537361							
"Sep 14, 2007"										14.83836778							
"Sep 15, 2007"										14.89136195							
"Sep 16, 2007"										14.94435612							
"Sep 17, 2007"										14.99735029							
"Sep 18, 2007"										15.05034446							
"Sep 19, 2007"										15.10333863							
"Sep 20, 2007"										15.1563328							
"Sep 21, 2007"										15.20932697							
"Sep 22, 2007"										15.26232114							
"Sep 23, 2007"										15.31531532							
"Sep 24, 2007"										15.36830949							
"Sep 25, 2007"										15.42130366							
"Sep 26, 2007"										15.47429783							
"Sep 27, 2007"										15.527292							
"Sep 28, 2007"										15.58028617							
"Sep 29, 2007"										15.63328034							
"Sep 30, 2007"										15.68627451							
"Oct 01, 2007"										15.73926868							
"Oct 02, 2007"										15.79226285							
"Oct 03, 2007"										15.84525702							
"Oct 04, 2007"										15.89825119							
"Oct 05, 2007"										15.95124536							
"Oct 06, 2007"										16.00423953							
"Oct 07, 2007"										16.0572337							
