Names	MrBeast
Bar Color	#00acd2
Bar Images	x
20-Feb-12	0
21-Feb-12	1.083
22-Feb-12	2.167
23-Feb-12	3.25
24-Feb-12	4.333
25-Feb-12	5.417
26-Feb-12	6.5
27-Feb-12	7.583
28-Feb-12	8.667
29-Feb-12	9.75
1-Mar-12	10.833
2-Mar-12	11.917
3-Mar-12	13
4-Mar-12	14.083
5-Mar-12	15.167
6-Mar-12	16.25
7-Mar-12	17.333
8-Mar-12	18.417
9-Mar-12	19.5
10-Mar-12	20.583
11-Mar-12	21.667
12-Mar-12	22.75
13-Mar-12	23.833
14-Mar-12	24.917
15-Mar-12	26
16-Mar-12	25
17-Mar-12	25.111
18-Mar-12	25.222
19-Mar-12	25.333
20-Mar-12	25.444
21-Mar-12	25.556
22-Mar-12	25.667
23-Mar-12	25.778
24-Mar-12	25.889
25-Mar-12	26
26-Mar-12	25.968
27-Mar-12	25.935
28-Mar-12	25.903
29-Mar-12	25.871
30-Mar-12	25.839
31-Mar-12	25.806
1-Apr-12	25.774
2-Apr-12	25.742
3-Apr-12	25.71
4-Apr-12	25.677
5-Apr-12	25.645
6-Apr-12	25.613
7-Apr-12	25.581
8-Apr-12	25.548
9-Apr-12	25.516
10-Apr-12	25.484
11-Apr-12	25.452
12-Apr-12	25.419
13-Apr-12	25.387
14-Apr-12	25.355
15-Apr-12	25.323
16-Apr-12	25.29
17-Apr-12	25.258
18-Apr-12	25.226
19-Apr-12	25.194
20-Apr-12	25.161
21-Apr-12	25.129
22-Apr-12	25.097
23-Apr-12	25.065
24-Apr-12	25.032
25-Apr-12	25
26-Apr-12	24.985
27-Apr-12	24.969
28-Apr-12	24.954
29-Apr-12	24.938
30-Apr-12	24.923
1-May-12	24.908
2-May-12	24.892
3-May-12	24.877
4-May-12	24.862
5-May-12	24.846
6-May-12	24.831
7-May-12	24.815
8-May-12	24.8
9-May-12	24.785
10-May-12	24.769
11-May-12	24.754
12-May-12	24.738
13-May-12	24.723
14-May-12	24.708
15-May-12	24.692
16-May-12	24.677
17-May-12	24.662
18-May-12	24.646
19-May-12	24.631
20-May-12	24.615
21-May-12	24.6
22-May-12	24.585
23-May-12	24.569
24-May-12	24.554
25-May-12	24.538
26-May-12	24.523
27-May-12	24.508
28-May-12	24.492
29-May-12	24.477
30-May-12	24.462
31-May-12	24.446
1-Jun-12	24.431
2-Jun-12	24.415
3-Jun-12	24.4
4-Jun-12	24.385
5-Jun-12	24.369
6-Jun-12	24.354
7-Jun-12	24.338
8-Jun-12	24.323
9-Jun-12	24.308
10-Jun-12	24.292
11-Jun-12	24.277
12-Jun-12	24.262
13-Jun-12	24.246
14-Jun-12	24.231
15-Jun-12	24.215
16-Jun-12	24.2
17-Jun-12	24.185
18-Jun-12	24.169
19-Jun-12	24.154
20-Jun-12	24.138
21-Jun-12	24.123
22-Jun-12	24.108
23-Jun-12	24.092
24-Jun-12	24.077
25-Jun-12	24.062
26-Jun-12	24.046
27-Jun-12	24.031
28-Jun-12	24.015
29-Jun-12	24
