Date	Technoblade	Technothepig	StudioLORE	Derp Squad
Bar colors	#f59e9d	#c3ecb0	#ffaf6d	#689f39
Bar images	x	x	x	x
"Oct 28, 2013"	0		58	0
"Oct 29, 2013"	0		58.03789338	0.004621072
"Oct 30, 2013"	0		58.07578677	0.009242144
"Oct 31, 2013"	0		58.11368015	0.013863216
"Nov 01, 2013"	0		58.15157354	0.018484288
"Nov 02, 2013"	1		58.18946692	0.02310536
"Nov 03, 2013"	1		58.22736031	0.027726433
"Nov 04, 2013"	1		58.26525369	0.032347505
"Nov 05, 2013"	2		58.30314708	0.036968577
"Nov 06, 2013"	2		58.34104046	0.041589649
"Nov 07, 2013"	3		58.37893385	0.046210721
"Nov 08, 2013"	3		58.41682723	0.050831793
"Nov 09, 2013"	4		58.45472062	0.055452865
"Nov 10, 2013"	5		58.492614	0.060073937
"Nov 11, 2013"	10		58.53050739	0.064695009
"Nov 12, 2013"	25		58.56840077	0.069316081
"Nov 13, 2013"	31		58.60629416	0.073937153
"Nov 14, 2013"	33		58.64418754	0.078558226
"Nov 15, 2013"	34.14130435		58.68208092	0.083179298
"Nov 16, 2013"	36.03804348		58.71997431	0.08780037
"Nov 17, 2013"	37.93478261		58.75786769	0.092421442
"Nov 18, 2013"	39.83152174		58.79576108	0.097042514
"Nov 19, 2013"	41.72826087		58.83365446	0.101663586
"Nov 20, 2013"	43.625		58.87154785	0.106284658
"Nov 21, 2013"	45.52173913		58.90944123	0.11090573
"Nov 22, 2013"	47.41847826		58.94733462	0.115526802
"Nov 23, 2013"	49.31521739		58.985228	0.120147874
"Nov 24, 2013"	51.21195652		59.02312139	0.124768946
"Nov 25, 2013"	53.10869565		59.06101477	0.129390018
"Nov 26, 2013"	55.00543478		59.09890816	0.134011091
"Nov 27, 2013"	56.90217391		59.13680154	0.138632163
"Nov 28, 2013"	58.79891304		59.17469493	0.143253235
"Nov 29, 2013"	60.69565217		59.21258831	0.147874307
"Nov 30, 2013"	62.5923913		59.2504817	0.152495379
"Dec 01, 2013"	64.48913043		59.28837508	0.157116451
"Dec 02, 2013"	66.38586957		59.32626846	0.161737523
"Dec 03, 2013"	68.2826087		59.36416185	0.166358595
"Dec 04, 2013"	70.17934783		59.40205523	0.170979667
"Dec 05, 2013"	72.07608696		59.43994862	0.175600739
"Dec 06, 2013"	73.97282609		59.477842	0.180221811
"Dec 07, 2013"	75.86956522		59.51573539	0.184842884
"Dec 08, 2013"	77.76630435		59.55362877	0.189463956
"Dec 09, 2013"	79.66304348		59.59152216	0.194085028
"Dec 10, 2013"	81.55978261		59.62941554	0.1987061
"Dec 11, 2013"	83.45652174		59.66730893	0.203327172
"Dec 12, 2013"	85.35326087		59.70520231	0.207948244
"Dec 13, 2013"	87.25		59.7430957	0.212569316
"Dec 14, 2013"	89.14673913		59.78098908	0.217190388
"Dec 15, 2013"	91.04347826		59.81888247	0.22181146
"Dec 16, 2013"	92.94021739		59.85677585	0.226432532
"Dec 17, 2013"	94.83695652		59.89466924	0.231053604
"Dec 18, 2013"	96.73369565		59.93256262	0.235674677
"Dec 19, 2013"	98.63043478		59.97045601	0.240295749
"Dec 20, 2013"	100.5271739		60.00834939	0.244916821
"Dec 21, 2013"	102.423913		60.04624277	0.249537893
"Dec 22, 2013"	104.3206522		60.08413616	0.254158965
"Dec 23, 2013"	106.2173913		60.12202954	0.258780037
"Dec 24, 2013"	108.1141304		60.15992293	0.263401109
"Dec 25, 2013"	110.0108696		60.19781631	0.268022181
"Dec 26, 2013"	111.9076087		60.2357097	0.272643253
